id,name,drainage_area,median_elevation,glacial_coverage,zone,solar_exposure,potential_evapo_transpiration,annual_precipitation,average_slope,mean_annual_runoff,7q2,7q10,jan_dist,feb_dist,mar_dist,apr_dist,may_dist,jun_dist,jul_dist,aug_dist,sep_dist,oct_dist,nov_dist,dec_dist,sum
4113,Ainslie Creek,158,1446,0.00,25,0.67,669,1416,18,19,0.13,0.21,0.03,0.03,0.04,0.09,0.26,0.25,0.10,0.04,0.03,0.03,0.04,0.04,0.98
4114,0,76,1515,0.00,25,0.68,660,1433,19,20,0.14,0.27,0.03,0.03,0.03,0.08,0.25,0.25,0.11,0.05,0.03,0.04,0.04,0.04,0.98
4116,Log Creek,85,1516,0.01,25,0.65,642,1957,25,37,0.16,0.33,0.03,0.03,0.03,0.07,0.22,0.24,0.14,0.07,0.04,0.04,0.05,0.04,0.99
4117,Kookipi Creek,159,1519,0.00,25,0.61,640,1973,25,37,0.16,0.33,0.03,0.03,0.03,0.07,0.22,0.24,0.13,0.06,0.04,0.04,0.05,0.04,0.99
4118,0,25,1641,0.00,25,0.59,620,1886,24,34,0.18,0.43,0.03,0.03,0.03,0.06,0.19,0.24,0.15,0.08,0.05,0.05,0.05,0.04,0.99
4119,0,30,1598,0.00,25,0.63,610,2187,21,34,0.19,0.45,0.03,0.03,0.03,0.06,0.18,0.23,0.16,0.08,0.05,0.05,0.06,0.04,1.00
4120,0,23,1582,0.00,25,0.58,621,2238,22,38,0.18,0.41,0.03,0.03,0.03,0.06,0.19,0.23,0.15,0.07,0.04,0.05,0.06,0.04,1.00
4121,Squakum Creek,43,1631,0.00,25,0.67,617,2015,22,34,0.18,0.44,0.03,0.03,0.03,0.06,0.19,0.24,0.15,0.08,0.05,0.05,0.05,0.04,1.00
4122,0,51,1319,0.00,25,0.61,664,2121,25,39,0.13,0.19,0.03,0.03,0.04,0.09,0.25,0.24,0.11,0.04,0.03,0.03,0.05,0.04,0.99
4123,Tachewana Creek,34,1635,0.00,25,0.66,616,2256,27,44,0.18,0.44,0.03,0.03,0.03,0.06,0.18,0.23,0.16,0.08,0.05,0.05,0.06,0.04,1.00
4124,0,30,1320,0.00,25,0.57,658,1992,25,38,0.14,0.21,0.03,0.03,0.04,0.08,0.24,0.24,0.12,0.05,0.03,0.04,0.05,0.04,0.99
4125,Mehatl Creek,291,1600,0.02,25,0.62,617,2275,30,50,0.18,0.44,0.03,0.03,0.03,0.06,0.17,0.23,0.16,0.09,0.05,0.05,0.06,0.04,1.00
4126,North Mehatl Creek,46,1765,0.02,25,0.64,586,2359,27,45,0.21,0.59,0.03,0.03,0.03,0.04,0.13,0.22,0.19,0.11,0.07,0.06,0.06,0.04,1.01
4127,0,183,1628,0.02,25,0.62,610,2360,30,51,0.19,0.47,0.03,0.03,0.03,0.06,0.16,0.22,0.17,0.10,0.06,0.05,0.06,0.04,1.00
4128,Mehatl Creek,183,1629,0.02,25,0.62,610,2360,30,51,0.19,0.48,0.03,0.03,0.03,0.05,0.16,0.22,0.17,0.10,0.06,0.05,0.06,0.04,1.00
4129,Mehatl Creek,72,1684,0.05,25,0.61,600,2294,31,51,0.20,0.54,0.03,0.02,0.03,0.05,0.13,0.21,0.19,0.12,0.07,0.06,0.06,0.04,1.01
4130,Mehatl Creek,38,1703,0.04,25,0.56,597,2396,29,49,0.20,0.55,0.03,0.03,0.03,0.05,0.13,0.21,0.19,0.12,0.07,0.06,0.06,0.04,1.01
4137,Nahatlatch River,306,1535,0.04,25,0.59,626,2338,30,51,0.17,0.41,0.03,0.03,0.03,0.06,0.17,0.22,0.16,0.09,0.05,0.05,0.06,0.04,1.00
4140,Mowhokam Creek,123,1471,0.00,25,0.66,663,1117,21,18,0.13,0.24,0.03,0.02,0.03,0.08,0.26,0.25,0.11,0.05,0.03,0.03,0.04,0.03,0.98
4141,0,26,1529,0.00,25,0.69,648,1046,22,17,0.15,0.31,0.03,0.02,0.03,0.07,0.24,0.25,0.12,0.06,0.04,0.04,0.04,0.03,0.98
4858,Charon Creek,24,1833,0.19,25,0.48,608,1667,40,53,0.18,0.66,0.02,0.02,0.02,0.03,0.07,0.16,0.23,0.21,0.12,0.07,0.04,0.03,1.00
4859,Durham Creek,55,1980,0.33,25,0.70,576,1412,21,22,0.21,0.85,0.02,0.01,0.01,0.00,-0.01,0.12,0.28,0.28,0.16,0.08,0.03,0.02,1.01
4860,0,22,2055,0.46,25,0.74,551,1504,20,22,0.24,0.95,0.02,0.01,0.01,-0.02,-0.04,0.12,0.30,0.30,0.17,0.09,0.04,0.02,1.02
4861,Styx Creek,24,1933,0.33,25,0.47,571,1813,38,52,0.21,0.85,0.02,0.01,0.01,0.00,-0.02,0.12,0.29,0.28,0.16,0.08,0.04,0.02,1.02
4862,Kwalx Creek,31,1918,0.21,25,0.66,595,1471,23,26,0.19,0.74,0.02,0.02,0.02,0.02,0.04,0.15,0.25,0.24,0.14,0.07,0.04,0.02,1.01
4863,Falcon Creek,154,1970,0.52,25,0.61,569,2206,28,46,0.22,0.87,0.02,0.02,0.02,0.00,-0.03,0.12,0.29,0.28,0.16,0.08,0.04,0.03,1.02
4864,0,40,2018,0.47,25,0.65,559,1927,27,39,0.23,0.92,0.02,0.01,0.01,-0.01,-0.04,0.12,0.30,0.29,0.17,0.09,0.04,0.02,1.02
4865,0,44,2101,0.66,25,0.62,553,2383,25,44,0.23,0.96,0.02,0.02,0.01,-0.01,-0.05,0.11,0.31,0.29,0.17,0.09,0.05,0.03,1.03
4866,Skmalts Naxwexnt Cr,23,2012,0.41,25,0.66,579,1844,24,33,0.21,0.85,0.02,0.01,0.01,0.00,-0.01,0.12,0.28,0.28,0.16,0.08,0.04,0.02,1.02
4867,0,144,2345,0.62,25,0.66,523,2411,20,37,0.26,1.14,0.02,0.01,0.01,-0.03,-0.09,0.10,0.33,0.32,0.18,0.10,0.05,0.03,1.03
4868,0,55,2535,0.79,25,0.68,476,2595,14,32,0.31,1.35,0.02,0.01,0.01,-0.06,-0.15,0.09,0.37,0.35,0.20,0.11,0.05,0.03,1.05
4871,Bishop River,371,2149,0.53,25,0.65,552,2375,23,42,0.23,0.98,0.02,0.02,0.01,-0.01,-0.05,0.11,0.31,0.29,0.17,0.09,0.05,0.03,1.03
4872,Bishop River,164,2084,0.56,25,0.64,559,2563,26,48,0.23,0.94,0.02,0.02,0.02,-0.01,-0.04,0.11,0.30,0.29,0.16,0.09,0.05,0.03,1.03
4873,0,45,2109,0.59,25,0.71,541,2768,24,49,0.25,1.00,0.02,0.02,0.01,-0.02,-0.07,0.11,0.32,0.30,0.17,0.09,0.05,0.03,1.03
4874,0,92,2035,0.51,25,0.63,572,1615,24,30,0.21,0.88,0.02,0.01,0.01,0.00,-0.02,0.12,0.28,0.28,0.16,0.08,0.04,0.02,1.02
4875,0,47,2079,0.58,25,0.60,556,1721,24,31,0.23,0.95,0.02,0.01,0.01,-0.01,-0.04,0.12,0.30,0.30,0.17,0.09,0.04,0.02,1.02
4877,0,65,2196,0.61,25,0.65,550,1488,21,24,0.24,1.00,0.02,0.01,0.01,-0.02,-0.04,0.12,0.30,0.30,0.17,0.09,0.04,0.02,1.02
4878,Boulanger Creek,31,1942,0.23,25,0.60,578,1523,27,32,0.21,0.82,0.02,0.01,0.01,0.00,0.00,0.13,0.27,0.27,0.15,0.08,0.04,0.02,1.01
4882,Southgate River,288,1945,0.34,25,0.63,588,1368,27,31,0.20,0.80,0.02,0.01,0.01,0.00,0.01,0.13,0.27,0.27,0.16,0.08,0.03,0.02,1.01
4883,Southgate River,81,1924,0.27,25,0.63,589,1409,28,32,0.20,0.79,0.02,0.01,0.01,0.01,0.01,0.13,0.27,0.27,0.16,0.08,0.03,0.02,1.01
8600,Lizzie Creek,83,1676,0.01,25,0.61,610,2091,26,41,0.19,0.48,0.03,0.03,0.03,0.06,0.17,0.23,0.16,0.09,0.05,0.05,0.06,0.04,1.00
8601,0,26,1830,0.02,25,0.65,580,2285,24,41,0.22,0.63,0.03,0.03,0.03,0.04,0.12,0.22,0.19,0.12,0.07,0.06,0.06,0.04,1.01
8602,0,58,1809,0.02,25,0.66,593,2004,27,40,0.21,0.59,0.03,0.02,0.03,0.04,0.14,0.22,0.18,0.11,0.07,0.06,0.05,0.04,1.00
8603,Twin Two Creek,20,1746,0.01,25,0.59,594,2044,25,38,0.21,0.56,0.03,0.03,0.03,0.05,0.15,0.22,0.18,0.11,0.06,0.05,0.06,0.04,1.00
8604,Twin One Creek,64,1676,0.03,25,0.63,620,1658,30,39,0.18,0.47,0.03,0.02,0.03,0.06,0.18,0.22,0.16,0.10,0.06,0.05,0.05,0.04,0.99
8605,0,20,1824,0.04,25,0.67,588,1785,25,34,0.21,0.62,0.03,0.02,0.03,0.04,0.13,0.22,0.19,0.13,0.07,0.06,0.05,0.04,1.00
8606,Ure Creek,127,1745,0.09,25,0.59,596,2322,28,47,0.20,0.61,0.03,0.02,0.03,0.04,0.10,0.19,0.21,0.16,0.09,0.06,0.05,0.04,1.01
8609,Joffre Creek,95,1662,0.05,25,0.64,616,1568,28,34,0.18,0.49,0.03,0.02,0.03,0.05,0.16,0.22,0.17,0.12,0.07,0.05,0.05,0.03,0.99
8610,North Joffre Creek,31,1843,0.04,25,0.64,588,1467,24,28,0.21,0.63,0.03,0.02,0.02,0.04,0.13,0.22,0.19,0.13,0.08,0.06,0.05,0.03,1.00
8612,Owl Creek,61,1391,0.00,25,0.70,644,1812,21,29,0.15,0.28,0.03,0.03,0.03,0.08,0.23,0.24,0.13,0.06,0.04,0.04,0.05,0.04,0.99
8613,Spetch Creek,199,1489,0.02,25,0.62,657,1370,28,32,0.14,0.28,0.03,0.02,0.03,0.08,0.23,0.24,0.12,0.07,0.04,0.04,0.04,0.03,0.98
8614,Poole Creek,462,1655,0.01,25,0.63,632,1193,26,27,0.16,0.41,0.03,0.02,0.03,0.06,0.21,0.24,0.14,0.08,0.05,0.04,0.04,0.03,0.98
8615,Fowl Creek,23,1630,0.00,25,0.65,617,1568,17,20,0.18,0.44,0.03,0.02,0.03,0.06,0.19,0.24,0.15,0.08,0.05,0.05,0.05,0.04,0.99
8616,Tenas Creek,26,1658,0.00,25,0.61,624,1361,26,29,0.17,0.42,0.03,0.02,0.03,0.06,0.21,0.24,0.14,0.08,0.05,0.05,0.05,0.04,0.99
8617,Taillefer Creek,228,1695,0.01,25,0.63,626,1097,26,25,0.17,0.44,0.03,0.02,0.03,0.06,0.21,0.24,0.14,0.09,0.05,0.05,0.04,0.03,0.98
8618,Sockeye Creek,99,1846,0.01,25,0.62,595,1147,23,21,0.20,0.58,0.03,0.02,0.02,0.04,0.16,0.23,0.17,0.11,0.07,0.05,0.04,0.03,0.99
8619,0,21,1953,0.01,25,0.67,572,1218,18,14,0.23,0.69,0.03,0.02,0.02,0.03,0.14,0.23,0.19,0.13,0.07,0.06,0.05,0.04,1.00
8620,Phelix Creek,82,1675,0.01,25,0.64,627,1097,25,23,0.17,0.43,0.03,0.02,0.03,0.06,0.21,0.24,0.14,0.09,0.05,0.05,0.04,0.03,0.98
8621,0,36,1364,0.02,25,0.61,668,1046,29,27,0.13,0.21,0.03,0.02,0.03,0.08,0.25,0.24,0.11,0.06,0.04,0.04,0.04,0.03,0.98
8622,Tenquille Creek,46,1708,0.00,25,0.59,609,1334,22,22,0.19,0.49,0.03,0.02,0.03,0.05,0.19,0.24,0.16,0.09,0.06,0.05,0.05,0.04,0.99
8625,Birkenhead River,397,1684,0.01,25,0.63,626,1166,25,26,0.17,0.43,0.03,0.02,0.03,0.06,0.21,0.24,0.14,0.08,0.05,0.05,0.04,0.03,0.99
8626,Birkenhead River,65,1795,0.01,25,0.65,602,1249,22,20,0.20,0.54,0.03,0.02,0.03,0.05,0.18,0.24,0.16,0.10,0.06,0.05,0.05,0.04,0.99
8627,Gravell Creek,30,1726,0.04,25,0.48,603,2301,27,45,0.19,0.54,0.03,0.03,0.03,0.05,0.14,0.21,0.18,0.11,0.07,0.05,0.06,0.04,1.00
8647,Pemberton Creek,34,1365,0.12,25,0.62,658,2055,23,35,0.13,0.31,0.02,0.02,0.03,0.07,0.17,0.19,0.16,0.13,0.07,0.05,0.04,0.03,0.99
8648,Miller Creek,77,1694,0.24,25,0.59,609,2388,24,42,0.18,0.65,0.02,0.02,0.02,0.02,0.03,0.13,0.26,0.24,0.14,0.07,0.04,0.03,1.02
8649,South Miller Creek,39,1809,0.34,25,0.58,587,2609,24,46,0.20,0.76,0.02,0.02,0.02,0.01,-0.01,0.12,0.28,0.27,0.15,0.08,0.05,0.03,1.02
8650,Ryan River,406,1669,0.17,25,0.60,623,2240,28,47,0.16,0.55,0.02,0.02,0.03,0.04,0.09,0.16,0.22,0.19,0.11,0.06,0.05,0.03,1.01
8651,Wasp Creek,33,1762,0.07,25,0.54,610,2035,26,39,0.19,0.55,0.03,0.02,0.03,0.05,0.14,0.20,0.19,0.13,0.08,0.06,0.05,0.04,1.00
8652,Petersen Creek,70,1725,0.15,25,0.60,606,2485,25,46,0.18,0.60,0.03,0.02,0.03,0.04,0.08,0.17,0.22,0.18,0.10,0.06,0.05,0.03,1.01
8655,Ryan River,223,1788,0.26,25,0.63,599,2548,27,50,0.18,0.72,0.02,0.02,0.02,0.02,0.01,0.12,0.27,0.26,0.14,0.07,0.05,0.03,1.02
8659,Railroad Creek,23,1416,0.00,25,0.72,659,1473,30,36,0.14,0.24,0.03,0.03,0.03,0.08,0.25,0.25,0.11,0.05,0.03,0.04,0.05,0.04,0.98
8660,Sampson Creek,29,1723,0.02,25,0.76,649,1822,29,40,0.15,0.38,0.03,0.03,0.03,0.08,0.22,0.24,0.13,0.07,0.04,0.04,0.05,0.04,0.99
8661,North Creek,81,1849,0.12,25,0.65,609,2083,28,44,0.18,0.61,0.03,0.02,0.03,0.04,0.11,0.18,0.21,0.16,0.09,0.06,0.05,0.03,1.00
8662,South Creek,120,1853,0.29,25,0.57,599,2368,23,41,0.19,0.74,0.02,0.02,0.02,0.02,0.01,0.12,0.27,0.26,0.14,0.07,0.04,0.03,1.02
8663,0,25,1956,0.29,25,0.64,577,2420,18,35,0.21,0.84,0.02,0.02,0.02,0.00,-0.02,0.12,0.29,0.27,0.15,0.08,0.05,0.03,1.02
8671,Boulder Creek,132,1899,0.22,25,0.63,588,1937,28,41,0.20,0.77,0.02,0.02,0.02,0.01,0.02,0.13,0.26,0.25,0.14,0.08,0.04,0.02,1.01
8672,0,33,2091,0.42,25,0.66,559,2016,27,41,0.23,0.94,0.02,0.01,0.01,-0.01,-0.04,0.11,0.30,0.29,0.17,0.09,0.04,0.02,1.02
8673,Salal Creek,110,1870,0.15,25,0.65,597,2116,28,43,0.19,0.68,0.02,0.02,0.02,0.03,0.07,0.16,0.23,0.20,0.11,0.07,0.05,0.03,1.01
8674,0,31,1929,0.23,25,0.67,590,2197,22,36,0.20,0.78,0.02,0.02,0.02,0.01,0.01,0.13,0.27,0.26,0.14,0.08,0.04,0.03,1.02
8675,Affliction Creek,14,1830,0.30,25,0.48,595,2390,30,50,0.19,0.74,0.02,0.02,0.02,0.01,0.01,0.12,0.27,0.26,0.15,0.08,0.04,0.03,1.02
8676,Manatee Creek,280,1910,0.41,25,0.64,582,2494,26,47,0.20,0.81,0.02,0.02,0.02,0.01,-0.01,0.12,0.28,0.27,0.15,0.08,0.05,0.03,1.02
8677,0,22,1916,0.25,25,0.72,577,2321,24,41,0.21,0.83,0.02,0.02,0.02,0.00,-0.02,0.12,0.28,0.27,0.15,0.08,0.04,0.03,1.02
8678,0,159,1986,0.48,25,0.66,571,2491,27,48,0.21,0.87,0.02,0.02,0.02,0.00,-0.03,0.11,0.29,0.28,0.16,0.08,0.05,0.03,1.03
8696,Lillooet River,332,1858,0.36,25,0.65,592,2419,25,46,0.19,0.76,0.02,0.02,0.02,0.01,0.00,0.12,0.27,0.26,0.15,0.08,0.04,0.03,1.02
8697,Lillooet River,118,1986,0.52,25,0.65,571,2583,28,51,0.22,0.87,0.02,0.02,0.02,0.00,-0.03,0.11,0.29,0.28,0.16,0.08,0.05,0.03,1.03
14041,Gates River,203,1343,0.00,25,0.59,671,1028,31,31,0.13,0.18,0.03,0.02,0.03,0.09,0.27,0.25,0.10,0.05,0.03,0.03,0.04,0.03,0.97
14042,Haylmore Creek,117,1728,0.00,25,0.60,612,1176,24,23,0.19,0.48,0.03,0.02,0.03,0.05,0.19,0.24,0.15,0.09,0.05,0.05,0.04,0.04,0.99
14043,Common Johnny Creek,35,1829,0.00,25,0.63,583,1238,20,18,0.22,0.61,0.03,0.02,0.02,0.04,0.15,0.23,0.18,0.11,0.07,0.06,0.05,0.04,0.99
14044,Blackwater Creek,29,939,0.00,25,0.67,723,911,30,26,0.07,-0.12,0.02,0.03,0.04,0.12,0.34,0.26,0.05,0.00,0.01,0.02,0.03,0.03,0.96
14045,Spruce Creek,117,1389,0.00,25,0.57,666,1052,34,35,0.13,0.21,0.03,0.02,0.03,0.08,0.26,0.25,0.10,0.05,0.03,0.03,0.04,0.03,0.97
14046,Seven Mile Creek,22,1764,0.00,25,0.60,595,1141,30,30,0.20,0.55,0.03,0.02,0.03,0.04,0.17,0.24,0.16,0.10,0.06,0.05,0.05,0.04,0.99
14047,Eight Mile Creek,27,1580,0.01,25,0.49,635,1225,33,36,0.16,0.37,0.03,0.02,0.03,0.07,0.22,0.24,0.13,0.08,0.05,0.04,0.04,0.03,0.98
14628,Twentysix Mile Cree,30,1499,0.00,25,0.60,669,1533,23,26,0.13,0.23,0.03,0.03,0.04,0.09,0.26,0.25,0.11,0.04,0.03,0.03,0.05,0.04,0.98
14629,Sumallo River,214,1407,0.00,25,0.59,672,1508,27,33,0.12,0.19,0.03,0.03,0.04,0.09,0.27,0.25,0.10,0.04,0.03,0.03,0.05,0.04,0.98
14634,Snass Creek,40,1516,0.00,25,0.64,677,1625,25,31,0.12,0.21,0.03,0.03,0.04,0.09,0.27,0.25,0.10,0.04,0.02,0.03,0.05,0.04,0.98
14635,Skaist River,110,1617,0.00,25,0.65,669,1519,19,22,0.13,0.27,0.03,0.03,0.04,0.09,0.26,0.25,0.11,0.04,0.03,0.03,0.05,0.04,0.98
14636,Grainger Creek,25,1671,0.00,25,0.61,656,1521,16,18,0.14,0.33,0.03,0.03,0.03,0.08,0.25,0.25,0.12,0.05,0.03,0.04,0.05,0.04,0.98
14642,Skagit River,263,1530,0.00,25,0.63,680,1458,21,23,0.12,0.20,0.03,0.03,0.04,0.09,0.28,0.25,0.10,0.03,0.02,0.03,0.04,0.03,0.98
14643,Skagit River,37,1516,0.00,25,0.64,680,1303,17,15,0.12,0.20,0.03,0.03,0.04,0.09,0.28,0.25,0.09,0.04,0.02,0.03,0.04,0.03,0.97
1906,Sumas River,1617,917,0.00,26,0.67,701,2010,23,51,0.22,0.19,0.05,0.06,0.08,0.10,0.17,0.15,0.10,0.01,0.03,0.08,0.09,0.07,1.00
1907,Vedder Canal,1273,1133,0.00,26,0.67,671,2130,27,50,0.23,0.23,0.06,0.06,0.07,0.09,0.16,0.16,0.11,0.04,0.04,0.07,0.09,0.07,1.00
1911,Tamihi Creek,132,1263,0.00,26,0.67,641,2311,25,51,0.22,0.23,0.06,0.05,0.06,0.07,0.14,0.16,0.12,0.06,0.05,0.07,0.09,0.07,1.00
1912,Slesse Creek,165,1320,0.00,26,0.66,648,2229,31,50,0.22,0.22,0.06,0.05,0.06,0.07,0.14,0.17,0.12,0.06,0.05,0.06,0.09,0.07,1.00
1913,Chipmunk Creek,45,1271,0.00,26,0.66,650,2287,21,52,0.22,0.22,0.06,0.05,0.06,0.08,0.14,0.16,0.12,0.06,0.05,0.06,0.09,0.07,1.00
1914,Foley Creek,79,1318,0.00,26,0.64,654,2042,29,46,0.22,0.21,0.06,0.05,0.06,0.07,0.14,0.17,0.13,0.06,0.04,0.06,0.08,0.07,1.01
1915,Nesakwatch Creek,58,1366,0.00,26,0.63,638,2188,34,48,0.22,0.24,0.06,0.05,0.05,0.07,0.14,0.17,0.13,0.07,0.05,0.06,0.09,0.07,1.00
1916,Centre Creek,40,1407,0.00,26,0.62,639,2207,32,48,0.22,0.23,0.06,0.05,0.05,0.07,0.14,0.17,0.13,0.07,0.05,0.06,0.08,0.07,1.01
1917,Post Creek,24,1350,0.00,26,0.62,667,2099,25,49,0.21,0.19,0.06,0.05,0.06,0.08,0.15,0.17,0.13,0.06,0.04,0.05,0.08,0.07,1.01
1918,Paleface Creek,38,1514,0.00,26,0.59,640,2356,23,52,0.22,0.23,0.06,0.05,0.05,0.06,0.13,0.17,0.14,0.08,0.05,0.05,0.09,0.07,1.01
1920,Chilliwack River,1142,1221,0.00,26,0.67,660,2164,28,50,0.23,0.24,0.06,0.06,0.06,0.08,0.15,0.16,0.12,0.05,0.04,0.06,0.09,0.07,1.00
1921,Chilliwack River,913,1258,0.00,26,0.67,659,2154,29,49,0.23,0.23,0.06,0.05,0.06,0.08,0.15,0.16,0.12,0.06,0.04,0.06,0.09,0.07,1.00
1922,Chilliwack River,679,1298,0.00,26,0.68,658,2159,29,49,0.23,0.23,0.06,0.05,0.06,0.08,0.15,0.17,0.12,0.06,0.04,0.06,0.09,0.07,1.01
1923,Chilliwack River,452,1340,0.00,26,0.67,656,2187,29,50,0.22,0.22,0.06,0.05,0.06,0.07,0.14,0.17,0.13,0.06,0.04,0.06,0.09,0.07,1.01
4059,Ruby Creek,90,943,0.00,26,0.67,707,2468,22,63,0.19,0.14,0.06,0.06,0.08,0.10,0.17,0.15,0.10,0.01,0.03,0.07,0.09,0.07,1.00
4060,Garnet Creek,58,976,0.00,26,0.66,703,2537,24,64,0.19,0.14,0.06,0.06,0.07,0.10,0.17,0.15,0.10,0.02,0.03,0.07,0.09,0.07,1.00
4061,Hunter Creek,43,1104,0.00,26,0.56,692,2674,26,66,0.20,0.16,0.06,0.06,0.07,0.09,0.16,0.15,0.10,0.03,0.03,0.07,0.09,0.07,1.00
4062,Silverhope Creek,320,1224,0.00,26,0.59,682,2300,29,56,0.21,0.18,0.06,0.06,0.06,0.09,0.16,0.16,0.12,0.05,0.04,0.06,0.09,0.07,1.01
4063,Sowerby Creek,39,1212,0.00,26,0.57,675,2628,27,63,0.21,0.18,0.06,0.06,0.06,0.08,0.16,0.16,0.11,0.05,0.04,0.06,0.09,0.07,1.00
4064,Yola Creek,176,1335,0.00,26,0.59,669,2228,28,52,0.21,0.20,0.06,0.05,0.06,0.08,0.15,0.17,0.13,0.06,0.04,0.05,0.09,0.07,1.01
4065,Cantelon Creek,37,1336,0.00,26,0.61,660,2444,28,57,0.21,0.20,0.06,0.05,0.06,0.08,0.15,0.16,0.12,0.06,0.04,0.06,0.09,0.07,1.01
4066,Hicks Creek,89,1353,0.00,26,0.59,668,2182,28,51,0.21,0.19,0.06,0.05,0.06,0.08,0.15,0.17,0.13,0.06,0.04,0.05,0.09,0.07,1.01
4067,Silverhope Creek,248,1286,0.00,26,0.59,677,2234,29,54,0.21,0.19,0.06,0.06,0.06,0.08,0.16,0.16,0.12,0.05,0.04,0.06,0.09,0.07,1.01
4068,Silverhope Creek,89,1352,0.00,26,0.59,669,2182,28,51,0.21,0.19,0.06,0.05,0.06,0.08,0.15,0.17,0.13,0.06,0.04,0.05,0.09,0.07,1.01
4069,Coquihalla River,746,1222,0.00,26,0.61,708,2555,25,65,0.20,0.16,0.06,0.06,0.07,0.09,0.17,0.16,0.11,0.04,0.03,0.05,0.09,0.07,1.01
4070,Nicolum River,110,1214,0.00,26,0.57,698,1823,26,46,0.20,0.15,0.06,0.06,0.07,0.09,0.17,0.17,0.12,0.04,0.03,0.06,0.08,0.07,1.01
4071,Eight Mile Creek,26,1285,0.00,26,0.61,696,1841,26,46,0.19,0.15,0.06,0.06,0.07,0.09,0.16,0.17,0.13,0.05,0.03,0.05,0.08,0.07,1.01
4072,Wray Creek,23,1284,0.00,26,0.53,685,1804,28,44,0.20,0.17,0.06,0.06,0.06,0.08,0.16,0.17,0.13,0.05,0.03,0.05,0.08,0.07,1.01
4073,Peers Creek,25,1115,0.00,26,0.57,722,2068,28,55,0.18,0.11,0.06,0.06,0.07,0.10,0.18,0.16,0.11,0.03,0.02,0.06,0.09,0.07,1.01
4074,Sowaqua Creek,152,1290,0.00,26,0.61,699,2076,25,52,0.20,0.15,0.06,0.06,0.07,0.09,0.16,0.17,0.12,0.05,0.03,0.05,0.08,0.07,1.01
4075,Sowaqua Creek,78,1384,0.00,26,0.59,684,1781,23,43,0.20,0.17,0.06,0.05,0.06,0.08,0.16,0.17,0.13,0.06,0.04,0.05,0.08,0.07,1.01
4076,Dewdney Creek,78,1288,0.00,26,0.58,699,3029,25,76,0.19,0.15,0.07,0.06,0.07,0.09,0.16,0.16,0.11,0.05,0.03,0.05,0.09,0.08,1.01
4077,Cedarflat Creek,22,1375,0.00,26,0.60,694,3146,21,78,0.20,0.15,0.07,0.06,0.06,0.08,0.16,0.16,0.12,0.06,0.03,0.04,0.09,0.08,1.01
